Score: 9.919602e8, Count: 1
Score: 8.254604e8, Count: 1
Score: 7.982501e8, Count: 1
Score: 7.814527e8, Count: 1
Score: 6.399258e8, Count: 1
Score: 5.5903354e8, Count: 1
Score: 5.559771e8, Count: 1
Score: 5.515975e8, Count: 1
Score: 5.4106726e8, Count: 1
Score: 5.4040685e8, Count: 1
Score: 5.3850886e8, Count: 1
Score: 5.3249302e8, Count: 1
Score: 5.2611645e8, Count: 1
Score: 5.0535923e8, Count: 1
Score: 4.9741827e8, Count: 1
Score: 4.9552125e8, Count: 1
Score: 4.8544864e8, Count: 1
Score: 4.8425472e8, Count: 1
Score: 4.7887872e8, Count: 1
Score: 4.7753232e8, Count: 1
Score: 4.6860858e8, Count: 1
Score: 4.519692e8, Count: 1
Score: 4.4497773e8, Count: 1
Score: 4.4476896e8, Count: 1
Score: 4.447548e8, Count: 1
Score: 4.316305e8, Count: 1
Score: 4.2086432e8, Count: 1
Score: 4.1329248e8, Count: 1
Score: 3.995108e8, Count: 1
Score: 3.9799757e8, Count: 1
Score: 3.9792186e8, Count: 1
Score: 3.6924288e8, Count: 1
Score: 3.6914432e8, Count: 1
Score: 3.676421e8, Count: 1
Score: 3.5962125e8, Count: 1
Score: 3.5902922e8, Count: 1
Score: 3.5878717e8, Count: 1
Score: 3.4872934e8, Count: 1
Score: 3.4861907e8, Count: 1
Score: 3.4557744e8, Count: 1
Score: 3.4390848e8, Count: 1
Score: 3.383689e8, Count: 1
Score: 3.36118e8, Count: 1
Score: 3.3545427e8, Count: 1
Score: 3.325724e8, Count: 1
Score: 3.3061264e8, Count: 1
Score: 3.299164e8, Count: 1
Score: 3.2748755e8, Count: 1
Score: 3.246064e8, Count: 1
Score: 3.1886035e8, Count: 1
Score: 3.1840256e8, Count: 1
Score: 3.133323e8, Count: 1
Score: 3.1042637e8, Count: 1
Score: 3.0402768e8, Count: 1
Score: 2.979671e8, Count: 1
Score: 2.9718413e8, Count: 1
Score: 2.9645696e8, Count: 1
Score: 2.819543e8, Count: 1
Score: 2.715063e8, Count: 1
Score: 2.6882704e8, Count: 1
Score: 2.6763427e8, Count: 1
Score: 2.6423006e8, Count: 1
Score: 2.63002e8, Count: 1
Score: 2.5758422e8, Count: 1
Score: 2.5741757e8, Count: 1
Score: 2.5179461e8, Count: 1
Score: 2.4799109e8, Count: 1
Score: 2.469719e8, Count: 1
Score: 2.459111e8, Count: 1
Score: 2.4571712e8, Count: 1
Score: 2.4496678e8, Count: 1
Score: 2.4434365e8, Count: 1
Score: 2.4223384e8, Count: 1
Score: 2.4191248e8, Count: 1
Score: 2.4011643e8, Count: 1
Score: 2.3986912e8, Count: 1
Score: 2.3387474e8, Count: 1
Score: 2.3286786e8, Count: 1
Score: 2.3263462e8, Count: 1
Score: 2.3256448e8, Count: 1
Score: 2.321427e8, Count: 1
Score: 2.2604634e8, Count: 1
Score: 2.2491622e8, Count: 1
Score: 2.2108771e8, Count: 1
